Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Venlafaxin_645_p,13.03,Target Compound,blankNP_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C17H27NO2,N/A,N/A,N/F,N/A,278.2115,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,blankEvian_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C17H27NO2,N/A,N/A,N/F,N/A,278.2115,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,blindEvian_1,342176,115826740,0.003,13.08,Processed,,Matrix Blank,5.465,T1,,3,1,blindEvian_1,,63017,0.05,C17H27NO2,M+H,N/A,5.465,N/A,278.2115,278.2113,-.6715 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 5.465 > blank evaluation value 0
Venlafaxin_645_p,13.03,Target Compound,Cal5_1,61509940,111978261,0.549,13.06,Processed,,Unknown,3373.392,T1,,4,1,Cal5_1,,8855255,0.03,C17H27NO2,M+H,N/A,3373.392,N/A,278.2115,278.2114,-.3424 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,blindEvian_2,581352,118423592,0.005,13.02,Processed,,Matrix Blank,17.516,T1,,5,1,blindEvian_2,,106647,-0.01,C17H27NO2,M+H,N/A,17.516,N/A,278.2115,278.2115,-.0133 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 17.516 > blank evaluation value 0
Venlafaxin_645_p,13.03,Target Compound,blindEvian_3,445775,113339547,0.004,13.02,Processed,,Matrix Blank,11.499,T1,,6,1,blindEvian_3,,77581,-0.01,C17H27NO2,M+H,N/A,11.499,N/A,278.2115,278.2114,-.1230 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 11.499 > blank evaluation value 0
Venlafaxin_645_p,13.03,Target Compound,AS_blank1,10407035,N/F,0,13.05,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,1777916,0.02,C17H27NO2,M+H,N/A,N/A,N/A,278.2115,278.2115,-.0133 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,AS_blank2,10071111,N/F,0,13.01,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,1538374,-0.02,C17H27NO2,M+H,N/A,N/A,N/A,278.2115,278.2111,-1.3296 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,AS_S5_1,10420211,251235804,0.041,13.01,Processed,,Unknown,242.929,T1,,9,1,AS_S5_1,,1864147,-0.02,C17H27NO2,M+H,N/A,242.929,N/A,278.2115,278.2115,-.0133 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,AS_S4_1,10039879,272085873,0.037,13.04,Processed,,Unknown,214.719,T1,,10,1,AS_S4_1,,1546162,0.01,C17H27NO2,M+H,N/A,214.719,N/A,278.2115,278.2112,-1.0005 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
